Bald Eagle,Haliaeetus leucocephalus,,
Barred Owl,Strix varia,,
Cooper's Hawk,Accipter cooperii,,
Great Horned Owl,Bubo virginianus,,
Greater Prairie Chicken,Tympanuchus cupido,Pinnated grouse,
Harris Hawk,Parabuteo unicinctus,Bay-winged hawk,
Indian Peafowl,Pavo crostatas,Peacock,Peahen
Peregrine Falcon,Falco peregrinus,,
Red Tail Hawk,Buteo jamaicensis,,
Turkey,Meleagris gallopavo,,
Turkey Vulture,Carthartes aura,,
American Elk,Cervus canadensis,,
Gray Wolf,Canis lupus,,
Mountain Lion,Puma concolor,Cougar,Puma
North American River Otter,Lontra canadensis,,
Pygmy Goat,Capra circus,,
African Spurred Tortoise,Centrochelys sulcata,,
American Alligator,Alligator mississippiensis,,
Ball Python,Python regius,Royal Python,
Brown Basilisk,Basiliscus vittatus,Striped Basilisk,Common Basilisk
Bull Snake,Pituophis catenifer sayi,,
Burmese Python,Python bivittatus,,
California Desert Tortoise,Gopherus agassizii,,
California King Snake,Lampropeltis californiae,,
Common Snapping Turtle,Chelydra serpentina,,
Eastern Box Turtle,Terrapin carolina carolina,,
Eastern Painted Turtle,Chrysemys picta,,
Green Iguana,Iguana iguana,,
Inland Bearded Dragon,Pogona vitticeps,Central bearded dragon,
Red Eared Slider,Trachemys scripta elegans,,
Red Milk Snake,Lampropeltis Triangulum syspila,,
Red Tail Boa Constrictor,Boa constrictor,,
Spotted Gar,Lepisosteus oculatus,,
Western Fox Snake,Elaphe vulpina,,
